"","Q","N","p","Est_FE","I2","Est_RE","Tau","Tau p","IC a","z","IC b","z.1","inst_v a","z.2","inst_v b","z.3","inst_p a","z.4","inst_p b","z.5","ingr_v a","z.6","ingr_v b","z.7","ingr_p a","z.8","ingr_p b","z.9","a_residents","z.10","consumers_b","z.11","workforce_b","z.12","youth_b","z.13","a_nonrandom","z.14","random_b","z.15","a_cawi","z","F2F_b","z","PAPI_b","z"
"B_IB",972.558083686747,72,0,0.504434801474166,0.93617521884695,0.50730277819116,0.0289755519061776,5.41541142859234,0.505454405953417,24.3251906561523,-0.0266075738740539,-1.20405589086694,0.508450093394593,24.0979893775855,-0.00856691351517497,-0.412331254042704,0.50730397770124,24.2204335536358,3.98572166971705e-05,0.00172138854046928,0.507902442617259,24.3718399448311,-0.019763147249987,-0.91398954549911,0.503826507992164,23.8946678876339,0.0201990073730844,0.985230184015546,0.463465942891401,13.0661723344275,0.0723808947030899,1.46274972603003,-0.0583875503714484,-0.857914835246897,0.110181868796008,2.05414518769527,0.500473120203709,16.7464132652658,0.01338999438606,0.319967102872099,0.462656891079018,14.0662441687265,-0.0174250220980886,-0.277453037997796,0.0966949927850796,2.2122159732463
"B_ATT",1282.03998620916,85,0,0.381977818357247,0.928425779673108,0.3471286542583,0.0256244454545848,5.76961806613486,0.346677494735045,18.9084026054136,0.0089046091619975,0.45057887558136,0.347092845604575,18.9524041486628,-0.00638826676548013,-0.340504243327292,0.346281310886579,18.80456576811,-0.00861795711031368,-0.435987401015416,0.347060600068967,18.9424786539782,0.00365921927942057,0.192693710087291,0.34704715346546,19.0520416453716,-0.0183476494171304,-1.00946660717893,0.324189877860616,9.7537981853488,0.059891223943552,1.36039666037761,-0.0464365379463665,-0.756302020261643,0.0273222264482608,0.531410519910202,0.351412273546915,13.404594125883,-0.00836598231361473,-0.2283378663442,0.295762250956239,10.2594410241774,0.065856868177842,1.18881607103535,0.0884308409931341,2.28767979867043
"B_PBC",939.880435778545,75,0,0.369550598855575,0.921249246435787,0.372076701065082,0.0231092759034334,5.46672009450511,0.371204772946078,20.0215704348251,-0.0115741754322466,-0.60169860821301,0.369422418914329,19.8599461807501,0.0196067645612471,1.00859012101388,0.371696060915142,20.1072767538001,-0.0141634715685733,-0.667807466506736,0.373807387197935,19.918633334531,0.0109499695638629,0.538754786469827,0.371723031080468,19.8884114468259,0.00258650240142827,0.142443848551957,0.327945899048018,10.0739067265081,0.0730734710468957,1.52256866224384,0.0713577204890788,1.16632114717358,0.0531128765730383,1.14268788476518,0.349665012829841,12.5906841774892,0.0398471243127834,1.07592279032829,0.348076442397934,11.6942840193071,0.0421403036807965,0.767399112509948,0.0376313086762115,0.934753060065763
"B_PN",948.239487511306,44,0,0.399394880927283,0.943099820876178,0.385842195687675,0.0327422061903573,4.35879750054615,0.387937220051474,13.6379282479679,-0.0165824325225225,-0.557902333787956,0.385038729677786,13.6003598750593,0.0111296949212112,0.39044588308738,0.385646035635555,13.5656066902114,-0.00193655649932655,-0.0665864062868114,0.385739711017077,13.6735307079379,-0.0153206870316273,-0.543040789237306,0.384402455611333,13.2305966952311,-0.00555440924816418,-0.21316883822469,0.347946413976079,5.86235180143197,0.0593234200811384,0.83606992663583,0.0544855797416296,0.521051270659103,0.00888069729610663,0.0956409390006328,0.40644808756882,8.96014775358307,-0.0336109347422098,-0.580273010681093,0.355649402413108,8.74387990945619,0.0946607353773818,0.993550013062549,0.0474078461436431,0.805326992749844
"B_SN",968.16308515016,81,0,0.344207191236439,0.925470883586155,0.327143392506184,0.0245301778937509,5.59379687575631,0.32721191203916,17.7039106486997,-0.00265684961584103,-0.134876385753762,0.327052056527406,17.7402073623151,0.0109999235849119,0.592460390892128,0.327497913876841,17.7576401960723,-0.0131752738738415,-0.63927079875429,0.327158036016357,17.69095509885,0.000387228016149079,0.0182713812394396,0.327378352125376,17.7203827515729,0.00653299164463494,0.372923795868683,0.285783033214767,9.42084754167193,0.0908816094332715,2.13409760257885,-0.0576134622117197,-0.997141045986608,0.0865875660570326,1.76692577932789,0.346757349370588,12.3484906731875,-0.0343157449264002,-0.92383690018868,0.292999074965007,9.38244083901148,0.0303483640257973,0.589910988302474,0.0611117951865484,1.48296316096928
"IB_ATT",2428.48695518916,171,0,0.537804088147949,0.936075297429512,0.528314842710188,0.0289271720641384,8.26319441546067,0.529395244981947,38.5550168105426,0.0123653804826203,0.915156538056521,0.530948034314863,38.8316364719179,-0.0257082244971218,-1.85108520693633,0.52814982844386,38.4219915703832,-0.00265506189604003,-0.193297846318775,0.524524751226846,38.4851141631953,-0.0301254709465862,-2.23814806591277,0.531391432347417,38.8555918386023,-0.025277925799122,-1.81260680765835,0.491523898597288,20.6888864774424,0.0797044413967944,2.47714773672546,-0.0260126241506045,-0.577148211424743,0.0543808614852758,1.37523662328616,0.508580956810516,28.5634991410849,0.0477156718927588,1.72534395295184,0.525353028376963,24.5642515773073,-0.0142800700971499,-0.38490456797294,0.01526538944111,0.496877670644604
"IB_PBC",2433.86489577458,158,0,0.470794916782919,0.939182999413305,0.453368093753451,0.0305062718032793,8.0724839283955,0.452183615277646,30.7123086688699,-0.00872050016434188,-0.607067690178129,0.45379919755418,30.9146034658453,-0.00448406393304774,-0.288893463403622,0.453392313141604,31.0634050098178,0.00875020504607044,0.587983443540811,0.447151177186358,30.6053194939521,-0.0337332659149334,-2.33617965377433,0.453129632630828,30.576113227573,0.00142527832779411,0.0953881047540306,0.472566905215339,19.5412034719117,-0.0185190612469118,-0.515007233871918,-0.0541488265052166,-1.14530335800298,-0.0316931529338355,-0.796784806654157,0.448485462919735,22.3128163732584,0.0103393059922011,0.35356624448963,0.467699277583549,20.7791900752664,-0.0224957270515026,-0.59228331397637,-0.0260606383408713,-0.783184986586639
"IB_PN",1764.71551286171,81,0,0.526378226439733,0.951504459668059,0.515134565785866,0.0387590332324855,5.98216399257204,0.516339691316876,22.9401683243859,0.0211364408760318,0.954356064414434,0.516094044670442,22.7569671893062,-0.01002083996336,-0.444227838659373,0.514745638766721,22.9555242852369,-0.0231556986573408,-1.10387575983328,0.511100112980975,22.5587708731681,-0.0275689916410634,-1.17768032035788,0.516157703418782,22.9921236517651,-0.0242143250361879,-1.09011454502572,0.476231766639468,11.8312700479125,0.0573142733112494,1.0910579675313,0.0878054400313629,0.997269715382729,0.0385150419026774,0.568253547473258,0.504368767812522,15.6345756957138,0.0210867168323856,0.467044740530136,0.532003172238087,16.0324108758949,0.0286924664763364,0.421326275884773,-0.0516622230058163,-1.06924895703764
"IB_SN",1917.4615379132,159,0,0.482948710936176,0.918532003948083,0.473592695551219,0.0222726129195028,7.87926131829229,0.473741313779449,37.213662567592,0.00155121320567429,0.124965628071139,0.47482233178489,37.4842359209867,-0.0160279167862237,-1.20250704404995,0.473443943699224,37.3061965102137,-0.00279986082081352,-0.210823832923443,0.468982654835306,37.5248328202615,-0.0330214452193694,-2.71586624034614,0.474607201061065,37.1846254306396,-0.00794472484540827,-0.615036223878605,0.438235666103499,20.5817246274286,0.063077463909609,2.10871410174991,0.018295158270764,0.433068289806842,0.0588986762135808,1.63976901178545,0.481076289684521,27.6993715920274,-0.015958336781872,-0.629165666051604,0.479574590723847,24.0490539516856,-0.0109079712243771,-0.324820721800873,-0.00951366057008425,-0.331492972112982
"ATT_PBC",2995.227021587,160,0,0.41626129957817,0.947385656269093,0.382665556585356,0.0355702205217065,8.2054685035321,0.380493979451355,24.3663594557062,-0.0192377283629668,-1.24923599947844,0.384514969500205,24.5128895450488,-0.0151889363870359,-0.910056115060178,0.38317038596731,24.674707739361,0.0218525351997139,1.37908898696638,0.37809778571563,24.1942273211584,-0.0297716539863581,-1.83177001439411,0.380484128894549,24.280551121655,0.017137423226936,1.08382554854764,0.404327472125285,15.3065650960888,-0.0121743400228678,-0.324718887864877,-0.0632103974165286,-1.28583331117695,-0.0484907850535384,-1.07452815400117,0.361022320972173,17.0164737529865,0.0465013866786813,1.4975100592534,0.385121855051928,16.5072961725315,0.0110619267750943,0.271627434762568,-0.0143137161488676,-0.403418061750699
"ATT_PN",2200.16302643152,86,0,0.506923381905737,0.957530937478871,0.471001469154073,0.0445393680534488,6.17827796397433,0.47121697357072,20.2891436614954,0.0284246872087454,1.2401445544251,0.470543845207047,19.8708292670825,0.00328259155110969,0.138607758281464,0.466207402777972,20.2013493888546,-0.0427988204076307,-1.90168653322985,0.468178972477965,19.8028868091212,-0.0197298691037233,-0.78848734273549,0.471472452916798,20.6124426872954,-0.046532460038565,-2.05601196115265,0.470632596479311,11.1554588057451,0.0257430841301047,0.475739199028433,-0.0476908831561738,-0.542276460188688,-0.0536701785575077,-0.709789840281696,0.434912078132214,13.3835803399025,0.0733928703257031,1.58552851061466,0.475282941833814,13.8710838070746,0.0362851497276314,0.543705812183017,-0.027630586571045,-0.538087895286325
"ATT_SN",3022.92105993123,163,0,0.435265783065203,0.943443334019133,0.418047142627394,0.0329530737805262,8.22606349468351,0.418088348931731,27.9169725898454,0.000531176163365144,0.0356379187494423,0.41918631999736,28.0288106455403,-0.0143214867382829,-0.914609182621652,0.418141447694087,27.9642000577139,0.00190445553304474,0.123458661846552,0.414371906224959,28.0741695762942,-0.0355779437254741,-2.33859343716172,0.418697320690083,27.8914962737465,-0.00612913194893281,-0.402820552284528,0.39836266191849,15.277815543651,0.060724893482759,1.69981738411198,0.00182322600720717,0.0380262238453464,-0.0146281526966739,-0.337470239933686,0.429465094035883,21.0746569491116,-0.0244818643291855,-0.820170506853437,0.408210510548618,17.8214429953909,0.0255219670032678,0.634342789532064,0.0124811711821009,0.372854510319955
"PBC_PN",1814.80016281443,75,0,0.416266613731317,0.959235728243141,0.372968617013315,0.0464846503379724,5.78745054201426,0.371404509295416,14.5650565547467,-0.0251193326781986,-0.986204386405001,0.37243027287136,14.3124102135961,0.00305544353475992,0.112347542675526,0.37315359749178,14.562954594633,0.00329760028498445,0.126332064974782,0.368735868567904,13.930963931382,-0.0165274663432945,-0.602814595938985,0.373187138625461,14.600492831097,0.0115814470963028,0.468337486337757,0.320307187808444,7.22367131012151,0.076389888464519,1.28911440419957,0.135308268935162,1.5096367654447,0.0451933445576808,0.600128387502058,0.34913775575471,9.06261072576327,0.0424069520154504,0.825632610147403,0.386070537206849,10.5807277936921,-0.0316356335023804,-0.434772131302483,-0.0228420199371274,-0.402418003120766
"PBC_SN",3607.65088089321,154,0,0.387612006240066,0.950264663619614,0.375849515108749,0.0377436095317162,8.15366196015886,0.368445168863239,22.9951929129947,-0.0481922266542003,-3.05800688986019,0.372762835974604,22.8996813353189,0.0270916314999092,1.56020847509512,0.375802862014491,23.0736329374904,0.0082454911274139,0.490490411495354,0.367288478545953,23.4706334956307,-0.0649905929220037,-4.01135172490254,0.366814522039437,23.1258859186182,0.0586879017538772,3.64652282173993,0.37878373548648,13.9872614215278,-0.00343005664741865,-0.0863508788260871,0.000224060643394457,0.00435336298717134,-0.0101616876913159,-0.218546439623741,0.395831419683985,16.9826081382158,-0.0386508960032048,-1.19199401691007,0.363767356596536,14.7667502072093,0.0318081865458769,0.748861721734294,0.014736776856937,0.397308312951368
"PN_SN",1554.90100261774,77,0,0.435206773945279,0.947520626515832,0.418206564040339,0.0356667831665936,5.78603091733282,0.41828232410251,18.764851782182,0.01449411015293,0.658136176351283,0.419000933727099,18.5763733463575,-0.00587376088760526,-0.263531973638896,0.416720814891583,18.6182337672246,-0.0157682051309215,-0.704604884341948,0.410085016494522,18.7429135478771,-0.0545236463013882,-2.33452376506063,0.41716309282937,18.7572610364447,-0.0199664149858404,-0.935476222862323,0.372902896142691,9.72405310066107,0.0830086756350704,1.63581698470029,0.0821915863347116,1.04273946862582,0.00738327370603844,0.105567087462761,0.424472231024247,12.1708560598617,-0.0106368619733789,-0.23407398381445,0.42177260563315,13.2238955705898,0.0534432497873357,0.882969751971699,-0.0393960295322704,-0.796255875436835
